0.00,28.00
1.00,29.00
2.00,30.00
3.00,31.00
4.00,32.00
5.00,33.00
6.00,34.00
7.00,35.00
8.00,36.00
9.00,37.00
10.00,38.00
11.00,39.00
12.00,40.00
13.00,41.00
14.00,42.00
15.00,43.00
16.00,44.00
17.00,45.00
18.00,46.00
19.00,47.00
20.00,48.00
21.00,49.00
22.00,50.00
23.00,51.00
24.00,52.00
25.00,53.00
26.00,54.00
27.00,55.00
28.00,56.00
29.00,57.00
30.00,58.00
31.00,59.00
32.00,60.00
33.00,61.00
34.00,62.00
35.00,63.00
36.00,64.00
37.00,65.00
38.00,66.00
39.00,67.00
40.00,68.00
41.00,69.00
42.00,70.00
43.00,71.00
44.00,72.00
45.00,73.00
46.00,74.00
47.00,75.00
48.00,76.00
49.00,77.00
50.00,78.00
51.00,79.00
52.00,80.00
53.00,81.00
54.00,82.00
55.00,83.00
56.00,84.00
57.00,85.00
58.00,86.00
59.00,87.00
60.00,88.00
61.00,89.00
62.00,90.00
63.00,91.00
64.00,92.00
65.00,93.00
66.00,94.00
67.00,95.00
68.00,96.00
69.00,97.00
70.00,98.00
71.00,99.00
72.00,100.00
73.00,101.00
74.00,102.00
75.00,103.00
76.00,104.00
77.00,105.00
78.00,106.00
79.00,107.00
80.00,108.00
81.00,109.00
82.00,110.00
83.00,111.00
84.00,112.00
85.00,113.00
86.00,114.00
87.00,115.00
88.00,116.00
89.00,117.00
90.00,118.00
91.00,119.00
92.00,120.00
93.00,121.00
94.00,122.00
95.00,123.00
96.00,124.00
97.00,125.00
98.00,126.00
99.00,127.00
