0.00,28.20
1.00,29.70
2.00,31.20
3.00,32.70
4.00,34.20
5.00,35.70
6.00,37.20
7.00,38.70
8.00,40.20
9.00,41.70
10.00,43.20
11.00,44.70
12.00,46.20
13.00,47.70
14.00,49.20
15.00,50.70
16.00,52.20
17.00,53.70
18.00,55.20
19.00,56.70
20.00,58.20
21.00,59.70
22.00,61.20
23.00,62.70
24.00,64.20
25.00,65.70
26.00,67.20
27.00,68.70
28.00,70.20
29.00,71.70
30.00,73.20
31.00,74.70
32.00,76.20
33.00,77.70
34.00,79.20
35.00,80.70
36.00,82.20
37.00,83.70
38.00,85.20
39.00,86.70
40.00,88.20
41.00,89.70
42.00,91.20
43.00,92.70
44.00,94.20
45.00,95.70
46.00,97.20
47.00,98.70
48.00,100.20
49.00,101.70
50.00,103.20
51.00,104.70
52.00,106.20
53.00,107.70
54.00,109.20
55.00,110.70
56.00,112.20
57.00,113.70
58.00,115.20
59.00,116.70
60.00,118.20
61.00,119.70
62.00,121.20
63.00,122.70
64.00,124.20
65.00,125.70
66.00,127.20
67.00,128.70
68.00,130.20
69.00,131.70
70.00,133.20
71.00,134.70
72.00,136.20
73.00,137.70
74.00,139.20
75.00,140.70
76.00,142.20
77.00,143.70
78.00,145.20
79.00,146.70
80.00,148.20
81.00,149.70
82.00,151.20
83.00,152.70
84.00,154.20
85.00,155.70
86.00,157.20
87.00,158.70
88.00,160.20
89.00,161.70
90.00,163.20
91.00,164.70
92.00,166.20
93.00,167.70
94.00,169.20
95.00,170.70
96.00,172.20
97.00,173.70
98.00,175.20
99.00,176.70
